subscriber|merchant|amount|currency|txnid|creation_date
0858606953|0858606953|10|USD|MP230226.1921.C00044|2023-02-26 19:22:00
0808512035|0808512035|50|USD|MP230227.0318.B00048|2023-02-27 03:18:45
0858606953|0858606953|10|USD|MP230228.2041.C00056|2023-02-28 20:41:06
0858606953|0858606953|10|USD|MP230228.2047.A00056|2023-02-28 20:47:48
0858606953|0858606953|20|USD|MP230228.2050.C00057|2023-02-28 20:50:39
0858606952|0858606952|50|USD|MP230228.2107.C00058|2023-02-28 21:08:10
0858606952|0858606952|100|USD|MP230228.2111.B00055|2023-02-28 21:11:53
0808512035|0808512035|10|USD|MP230303.1023.C00066|2023-03-03 10:23:39
0808512035|0808512035|105000|CDF|MP230303.1309.A00004|2023-03-03 13:09:47
0858606952|0858606952|10|USD|MP230307.1452.A00082|2023-03-07 14:52:11
0858606952|0858606952|20|USD|MP230307.1456.C00084|2023-03-07 14:56:26
0858606952|0858606952|50|USD|MP230307.1500.B00085|2023-03-07 15:00:23
0858606956|0858606956|56250|CDF|MP230403.1629.A00010|2023-04-03 16:29:23
0858606956|0858606956|112500|CDF|MP230403.1642.B00009|2023-04-03 16:42:20
0858606952|0858606952|20|USD|MP230616.1252.B00091|2023-06-16 12:52:29
0858606952|0858606952|20|USD|MP230616.1302.B00092|2023-06-16 13:02:04
0858606952|0858606952|100|USD|MP230616.1400.A00044|2023-06-16 14:00:30
0858606952|0858606952|337500|CDF|MP230616.1457.A00001|2023-06-16 14:57:46
0858606952|0858606952|337500|CDF|MP230616.1459.A00002|2023-06-16 14:59:20
0858606952|0858606952|337500|CDF|MP230616.1459.A00003|2023-06-16 14:59:47
0858606952|0858606952|450000|CDF|MP230616.1501.A00004|2023-06-16 15:01:20
0858606952|0858606952|675000|CDF|MP230616.1606.A00005|2023-06-16 16:06:39
0858606952|0858606952|675000|CDF|MP230619.1057.B00001|2023-06-19 10:57:34
0858606952|0858606952|100|USD|MP230619.1104.A00050|2023-06-19 11:04:13
0858606952|0858606952|100|USD|MP230619.1111.A00051|2023-06-19 11:11:15
0858606952|0858606952|100|USD|MP230619.1112.A00052|2023-06-19 11:12:31
0808512035|0808512035|10|USD|MP230814.1545.B00009|2023-08-14 15:45:14
0808512035|0808512035|20|USD|MP230814.1546.B00010|2023-08-14 15:46:56
0808512035|0808512035|260000|CDF|MP230814.1551.A00002|2023-08-14 15:51:11
0808512035|0808512035|130000|CDF|MP230814.1552.B00004|2023-08-14 15:52:45
0858606952|0858606952|100|USD|MP230821.1153.B00005|2023-08-21 11:53:16
0858606952|0858606952|390000|CDF|MP230821.1154.A00001|2023-08-21 11:54:58
0858606952|0858606952|100|USD|MP230821.1408.A00005|2023-08-21 14:08:04
0858606952|0858606952|10|USD||2023-09-27 10:14:02
0858606952|0858606952|10|USD||2023-09-27 10:18:20
0858606953|0858606953|10|USD|MP231005.1421.B00028|2023-10-05 14:21:15
0858606953|0858606953|10|USD|MP231018.1424.C00026|2023-10-18 14:24:59
0858606953|0858606953|50|USD|MP231019.1601.A00027|2023-10-19 16:01:28
0858606956|0858606956|10|USD|MP231020.1352.A00037|2023-10-20 13:53:06
0858606956|0858606956|50|USD|MP231020.1358.C00040|2023-10-20 13:59:10
0858606956|0858606956|100|USD|MP231020.1401.A00038|2023-10-20 14:01:32
0858606956|0858606956|100|USD|MP231020.1530.B00060|2023-10-20 15:31:17
0858606956|0858606956|20|USD|MP231020.1635.A00046|2023-10-20 16:35:40
0858606956|0858606956|10|USD|MP231020.1720.B00062|2023-10-20 17:20:23
0858606952|0858606952|20|USD|MP231124.2033.B00111|2023-11-24 20:33:32
0858606952|0858606952|20|USD|MP231124.2033.C00003|2023-11-24 20:33:58
0858606952|0858606952|10|USD|MP240113.1213.C00042|2024-01-13 12:14:10
